Date,Close,bollinger_upper_band,bollinger_lower_band,bollinger_signal,bb_position
2018-05-24,55.54999923706055,55.94301908382166,49.57698061100256,0.0,0
2018-05-25,55.77000045776367,56.17230267887725,50.16769709224091,0.0,0
2018-05-29,56.91999816894531,56.42812679178749,50.86987278096642,-1.0,0
2018-05-30,57.90999984741211,56.75524409432046,51.51375538688072,-1.0,0
2018-05-31,58.25,57.051281522988184,52.176717973471774,-1.0,0
2018-06-01,59.40999984741211,57.434876807645004,52.81312276510891,-1.0,0
2018-06-04,61.20000076293945,57.96237818716638,53.49562161446936,-1.0,0
2018-06-05,61.56999969482422,58.57059522187846,53.93240465605122,-1.0,0
2018-06-06,62.720001220703125,59.34744014174121,54.09555988877637,-1.0,0
2018-06-07,60.66999816894531,59.741833448776624,54.34216656648217,-1.0,0
2018-06-08,61.779998779296875,60.23322852315264,54.56377121744794,-1.0,0
2018-06-11,61.290000915527344,60.61521891979524,54.837780958134445,-1.0,0
2018-06-12,63.209999084472656,61.18833267581993,55.15766723262734,-1.0,0
2018-06-13,62.5,61.60889379958068,55.5221059562787,-1.0,0
2018-06-14,63.880001068115234,62.15544809944145,55.70455174797066,-1.0,0
