Date,Close,ao,ao_signal,ao_position
2021-06-11,219.33999633789062,-6.540205562815942,0,0
2021-06-14,230.9499969482422,-3.8118237663717878,0,0
2021-06-15,227.75,-0.3008820926442013,0,0
2021-06-16,225.11000061035156,3.3628529268152647,1,1
2021-06-17,236.1300048828125,7.350676188749418,0,1
2021-06-18,237.0500030517578,11.30597143734201,0,1
2021-06-21,233.88999938964844,13.629207611083984,0,1
2021-06-22,235.97000122070312,14.818884367101333,0,1
2021-06-23,238.6999969482422,16.8291488198673,0,1
2021-06-24,244.14999389648438,18.59279457541075,0,1
2021-06-25,239.94000244140625,19.289970128676458,0,1
2021-06-28,246.60000610351562,20.309382360121788,0,1
2021-06-29,248.8699951171875,22.011705735150514,0,1
2021-06-30,243.8000030517578,22.850676233628235,0,1
2021-07-01,241.85000610351562,21.927001504337085,0,1
2021-07-02,241.0800018310547,20.664679179472074,0,1
2021-07-06,246.6999969482422,19.656178283691418,0,1
2021-07-07,244.63999938964844,17.98935434678023,0,1
2021-07-08,235.89999389648438,15.640030490650844,0,1
2021-07-09,241.88999938964844,13.783882006476915,0,1
2021-07-12,243.35000610351562,12.833705184038934,0,1
2021-07-13,241.42999267578125,11.448116841035755,0,1
2021-07-14,239.0,9.573587081011596,0,1
2021-07-15,235.16000366210938,8.411764436609587,0,1
2021-07-16,237.52000427246094,7.467824464685776,0,1
2021-07-19,233.69000244140625,5.656147990507236,0,1
2021-07-20,246.47000122070312,4.669295501708973,0,1
2021-07-21,257.25,6.095943406048946,0,1
2021-07-22,260.5899963378906,9.199236791274132,0,1
2021-07-23,264.0,12.927441496007589,0,1
2021-07-26,261.989990234375,17.003234100341786,0,1
2021-07-27,251.72999572753906,19.14379124360923,0,1
2021-07-28,258.6099853515625,18.540936593448436,0,1
2021-07-29,255.27999877929688,16.873288637049058,0,1
2021-07-30,247.25999450683594,13.696817779540993,0,1
2021-08-02,272.3800048828125,12.041965664134324,0,1
2021-08-03,269.489990234375,13.633878371294799,0,1
2021-08-04,266.4200134277344,14.969557055305017,0,1
2021-08-05,281.80999755859375,17.124294954187718,0,1
2021-08-06,275.1000061035156,21.329972525203942,0,1
2021-08-09,279.7300109863281,23.615297609217038,0,1
2021-08-10,273.0799865722656,23.48944495705996,0,1
