Date,Close,RSI,rsi_signal,rsi_position
2021-07-19,233.69000244140625,47.52109164843864,0,1
2021-07-20,246.47000122070312,58.10619754815303,0,1
2021-07-21,257.25,64.59352334916375,0,1
2021-07-22,260.5899963378906,66.33305220234666,0,1
2021-07-23,264.0,68.0584847182078,0,1
2021-07-26,261.989990234375,65.91411022950876,0,1
2021-07-27,251.72999572753906,56.18310439549999,0,1
2021-07-28,258.6099853515625,60.40445129691376,0,1
2021-07-29,255.27999877929688,57.51617448814756,0,1
2021-07-30,247.25999450683594,51.1701289832644,0,1
2021-08-02,272.3800048828125,64.41416266955721,0,1
2021-08-03,269.489990234375,62.31992235243788,0,1
2021-08-04,266.4200134277344,60.085156230952656,0,1
2021-08-05,281.80999755859375,66.55912461053536,0,1
2021-08-06,275.1000061035156,61.84895057891691,0,1
2021-08-09,279.7300109863281,63.754947733414326,0,1
2021-08-10,273.0799865722656,59.181651694426414,0,1
